AwardYear,AwardCeremonyNum,Movie,AwardCategory,AwardStatus
1927/28,1,The Patent Leather Kid,ACTOR,nominated
1927/28,1,The Last Command,ACTOR,won
1927/28,1,The Noose,ACTOR,nominated
1927/28,1,The Way of All Flesh,ACTOR,won
1927/28,1,7th Heaven,ACTRESS,won
1927/28,1,Street Angel,ACTRESS,won
1927/28,1,A Ship Comes In,ACTRESS,nominated
1927/28,1,Sunrise,ACTRESS,won
1927/28,1,Sadie Thompson,ACTRESS,nominated
1927/28,1,7th Heaven,ART DIRECTION,nominated
1927/28,1,The Dove;,ART DIRECTION,won
1927/28,1,Sunrise,ART DIRECTION,nominated
1927/28,1,Tempest,ART DIRECTION,won
1927/28,1,The Magic Flame;,CINEMATOGRAPHY,nominated
1927/28,1,Sadie Thompson,CINEMATOGRAPHY,nominated
1927/28,1,The Devil Dancer;,CINEMATOGRAPHY,nominated
1927/28,1,Sunrise,CINEMATOGRAPHY,won
1927/28,1,Speedy,DIRECTING (Comedy Picture),nominated
1927/28,1,Two Arabian Knights,DIRECTING (Comedy Picture),won
1927/28,1,Sorrell and Son,DIRECTING (Dramatic Picture),nominated
1927/28,1,7th Heaven,DIRECTING (Dramatic Picture),won
1927/28,1,The Crowd,DIRECTING (Dramatic Picture),nominated
1927/28,1,The Racket,OUTSTANDING PICTURE,nominated
1927/28,1,7th Heaven,OUTSTANDING PICTURE,nominated
1927/28,1,Wings,OUTSTANDING PICTURE,won
1927/28,1,Glorious Betsy,WRITING (Adaptation),nominated
1927/28,1,7th Heaven,WRITING (Adaptation),won
1927/28,1,The Jazz Singer,WRITING (Adaptation),nominated
1927/28,1,Underworld,WRITING (Original Story),won
1927/28,1,The Last Command,WRITING (Original Story),nominated
1927/28,1,The Private Life of Helen of Troy,WRITING (Title Writing),nominated
1928/29,2,Alibi,ACTOR,nominated
1928/29,2,The Valiant,ACTOR,nominated
1928/29,2,The Patriot,ACTOR,nominated
1928/29,2,Thunderbolt,ACTOR,nominated
1928/29,2,In Old Arizona,ACTOR,won
1928/29,2,Madame X,ACTRESS,nominated
1928/29,2,The Broadway Melody,ACTRESS,nominated
1928/29,2,The Divine Lady,ACTRESS,nominated
1928/29,2,The Barker,ACTRESS,nominated
1928/29,2,Coquette,ACTRESS,won
1928/29,2,The Letter,ACTRESS,nominated
1928/29,2,Street Angel,ART DIRECTION,nominated
1928/29,2,The Awakening,ART DIRECTION,nominated
1928/29,2,The Bridge of San Luis Rey,ART DIRECTION,won
1928/29,2,The Patriot,ART DIRECTION,nominated
1928/29,2,Alibi;,ART DIRECTION,nominated
1928/29,2,Dynamite,ART DIRECTION,nominated
1928/29,2,White Shadows in the South Seas,CINEMATOGRAPHY,won
1928/29,2,Street Angel,CINEMATOGRAPHY,nominated
1928/29,2,Four Devils;,CINEMATOGRAPHY,nominated
1928/29,2,In Old Arizona,CINEMATOGRAPHY,nominated
1928/29,2,The Divine Lady,CINEMATOGRAPHY,nominated
1928/29,2,Our Dancing Daughters,CINEMATOGRAPHY,nominated
1928/29,2,Madame X,DIRECTING,nominated
1928/29,2,The Patriot,DIRECTING,nominated
1928/29,2,Drag;,DIRECTING,nominated
1928/29,2,Weary River,DIRECTING,nominated
1928/29,2,The Broadway Melody,DIRECTING,nominated
1928/29,2,The Divine Lady,DIRECTING,won
1928/29,2,In Old Arizona,DIRECTING,nominated
1928/29,2,Alibi,OUTSTANDING PICTURE,nominated
1928/29,2,The Patriot,OUTSTANDING PICTURE,nominated
1928/29,2,The Broadway Melody,OUTSTANDING PICTURE,won
1928/29,2,In Old Arizona,OUTSTANDING PICTURE,nominated
1928/29,2,Hollywood Revue,OUTSTANDING PICTURE,nominated
1928/29,2,The Valiant,WRITING,nominated
1928/29,2,The Patriot,WRITING,won
1928/29,2,Skyscraper,WRITING,nominated
1928/29,2,Wonder of Women,WRITING,nominated
1928/29,2,In Old Arizona;,WRITING,nominated
1928/29,2,The Last of Mrs. Cheyney,WRITING,nominated
1928/29,2,A Woman of Affairs;,WRITING,nominated
1928/29,2,Our Dancing Daughters,WRITING,nominated
1928/29,2,The Cop;,WRITING,nominated
1928/29,2,Sal of Singapore;,WRITING,nominated
1928/29,2,The Leatherneck;,WRITING,nominated
1929/30,3,The Green Goddess,ACTOR,nominated
1929/30,3,Condemned,ACTOR,nominated
1929/30,3,The Rogue Song,ACTOR,nominated
1929/30,3,Disraeli,ACTOR,won
1929/30,3,The Big House,ACTOR,nominated
1929/30,3,The Love Parade,ACTOR,nominated
1929/30,3,Bulldog Drummond,ACTOR,nominated
1929/30,3,The Big Pond,ACTOR,nominated
1929/30,3,The Divorcee,ACTRESS,won
1929/30,3,Sarah and Son,ACTRESS,nominated
1929/30,3,The Trespasser,ACTRESS,nominated
1929/30,3,Anna Christie,ACTRESS,nominated
1929/30,3,Their Own Desire,ACTRESS,nominated
1929/30,3,The Devil's Holiday,ACTRESS,nominated
1929/30,3,Romance,ACTRESS,nominated
1929/30,3,Sally,ART DIRECTION,nominated
1929/30,3,The Vagabond King,ART DIRECTION,nominated
1929/30,3,The Love Parade,ART DIRECTION,nominated
1929/30,3,King of Jazz,ART DIRECTION,won
1929/30,3,Bulldog Drummond,ART DIRECTION,nominated
1929/30,3,Hell's Angels,CINEMATOGRAPHY,nominated
1929/30,3,With Byrd at the South Pole,CINEMATOGRAPHY,won
1929/30,3,Anna Christie,CINEMATOGRAPHY,nominated
1929/30,3,The Love Parade,CINEMATOGRAPHY,nominated
1929/30,3,All Quiet on the Western Front,CINEMATOGRAPHY,nominated
1929/30,3,The Divorcee,DIRECTING,nominated
1929/30,3,Hallelujah,DIRECTING,nominated
1929/30,3,Anna Christie;,DIRECTING,nominated
1929/30,3,The Love Parade,DIRECTING,nominated
1929/30,3,All Quiet on the Western Front,DIRECTING,won
1929/30,3,Romance,DIRECTING,nominated
1929/30,3,The Divorcee,OUTSTANDING PRODUCTION,nominated
1929/30,3,The Love Parade,OUTSTANDING PRODUCTION,nominated
1929/30,3,Disraeli,OUTSTANDING PRODUCTION,nominated
1929/30,3,The Big House,OUTSTANDING PRODUCTION,nominated
1929/30,3,All Quiet on the Western Front,OUTSTANDING PRODUCTION,won
1929/30,3,Song of the Flame,SOUND RECORDING,nominated
1929/30,3,Raffles,SOUND RECORDING,nominated
1929/30,3,The Case of Sergeant Grischa,SOUND RECORDING,nominated
1929/30,3,The Big House,SOUND RECORDING,won
1929/30,3,The Love Parade,SOUND RECORDING,nominated
1929/30,3,The Divorcee,WRITING,nominated
1929/30,3,Street of Chance,WRITING,nominated
1929/30,3,Disraeli,WRITING,nominated
1929/30,3,The Big House,WRITING,won
1929/30,3,All Quiet on the Western Front,WRITING,nominated
1930/31,4,The Front Page,ACTOR,nominated
1930/31,4,The Royal Family of Broadway,ACTOR,nominated
1930/31,4,A Free Soul,ACTOR,won
1930/31,4,Cimarron,ACTOR,nominated
1930/31,4,Skippy,ACTOR,nominated
1930/31,4,Min and Bill,ACTRESS,won
1930/31,4,A Free Soul,ACTRESS,nominated
1930/31,4,Holiday,ACTRESS,nominated
1930/31,4,Morocco,ACTRESS,nominated
1930/31,4,Cimarron,ACTRESS,nominated
1930/31,4,Svengali,ART DIRECTION,nominated
1930/31,4,Whoopee!,ART DIRECTION,nominated
1930/31,4,Just Imagine,ART DIRECTION,nominated
1930/31,4,Morocco,ART DIRECTION,nominated
1930/31,4,Cimarron,ART DIRECTION,won
1930/31,4,Svengali,CINEMATOGRAPHY,nominated
1930/31,4,Tabu,CINEMATOGRAPHY,won
1930/31,4,The Right to Love,CINEMATOGRAPHY,nominated
1930/31,4,Morocco,CINEMATOGRAPHY,nominated
1930/31,4,Cimarron,CINEMATOGRAPHY,nominated
1930/31,4,The Front Page,DIRECTING,nominated
1930/31,4,A Free Soul,DIRECTING,nominated
1930/31,4,Morocco,DIRECTING,nominated
1930/31,4,Cimarron,DIRECTING,nominated
1930/31,4,Skippy,DIRECTING,won
1930/31,4,East Lynne,OUTSTANDING PRODUCTION,nominated
1930/31,4,Trader Horn,OUTSTANDING PRODUCTION,nominated
1930/31,4,The Front Page,OUTSTANDING PRODUCTION,nominated
1930/31,4,Cimarron,OUTSTANDING PRODUCTION,won
1930/31,4,Skippy,OUTSTANDING PRODUCTION,nominated
1930/31,4,The Criminal Code,WRITING (Adaptation),nominated
1930/31,4,Little Caesar,WRITING (Adaptation),nominated
1930/31,4,Holiday,WRITING (Adaptation),nominated
1930/31,4,Cimarron,WRITING (Adaptation),won
1930/31,4,Skippy,WRITING (Adaptation),nominated
1930/31,4,Laughter,WRITING (Original Story),nominated
1930/31,4,Smart Money,WRITING (Original Story),nominated
1930/31,4,The Public Enemy,WRITING (Original Story),nominated
1930/31,4,The Dawn Patrol,WRITING (Original Story),won
1930/31,4,The Doorway to Hell,WRITING (Original Story),nominated
1931/32,5,The Champ,ACTOR,won
1931/32,5,Dr. Jekyll and Mr. Hyde,ACTOR,nominated
1931/32,5,The Guardsman,ACTOR,nominated
1931/32,5,The Sin of Madelon Claudet,ACTRESS,won
1931/32,5,Emma,ACTRESS,nominated
1931/32,5,The Guardsman,ACTRESS,nominated
1931/32,5,À Nous la Liberté,ART DIRECTION,nominated
1931/32,5,Transatlantic,ART DIRECTION,won
1931/32,5,Arrowsmith,ART DIRECTION,nominated
1931/32,5,Shanghai Express,CINEMATOGRAPHY,won
1931/32,5,Dr. Jekyll and Mr. Hyde,CINEMATOGRAPHY,nominated
1931/32,5,Arrowsmith,CINEMATOGRAPHY,nominated
1931/32,5,Bad Girl,DIRECTING,won
1931/32,5,The Champ,DIRECTING,nominated
1931/32,5,Shanghai Express,DIRECTING,nominated
1931/32,5,The Smiling Lieutenant,OUTSTANDING PRODUCTION,nominated
1931/32,5,Shanghai Express,OUTSTANDING PRODUCTION,nominated
1931/32,5,Bad Girl,OUTSTANDING PRODUCTION,nominated
1931/32,5,Grand Hotel,OUTSTANDING PRODUCTION,won
1931/32,5,One Hour with You,OUTSTANDING PRODUCTION,nominated
1931/32,5,Arrowsmith,OUTSTANDING PRODUCTION,nominated
1931/32,5,The Champ,OUTSTANDING PRODUCTION,nominated
1931/32,5,Five Star Final,OUTSTANDING PRODUCTION,nominated
1931/32,5,It's Got Me Again,SHORT SUBJECT (Cartoon),nominated
1931/32,5,Mickey's Orphans,SHORT SUBJECT (Cartoon),nominated
1931/32,5,Flowers and Trees,SHORT SUBJECT (Cartoon),won
1931/32,5,The Loud Mouth,SHORT SUBJECT (Comedy),nominated
1931/32,5,Stout Hearts and Willing Hands,SHORT SUBJECT (Comedy),nominated
1931/32,5,Scratch-As-Catch-Can,SHORT SUBJECT (Comedy),nominated
1931/32,5,The Music Box,SHORT SUBJECT (Comedy),won
1931/32,5,Wrestling Swordfish,SHORT SUBJECT (Novelty),won
1931/32,5,Swing High,SHORT SUBJECT (Novelty),nominated
1931/32,5,Screen Souvenirs,SHORT SUBJECT (Novelty),nominated
1931/32,5,Bad Girl,WRITING (Adaptation),won
1931/32,5,Dr. Jekyll and Mr. Hyde,WRITING (Adaptation),nominated
1931/32,5,Arrowsmith,WRITING (Adaptation),nominated
1931/32,5,What Price Hollywood?,WRITING (Original Story),nominated
1931/32,5,The Champ,WRITING (Original Story),won
1931/32,5,The Star Witness,WRITING (Original Story),nominated
1931/32,5,Lady and Gent,WRITING (Original Story),nominated
1932/33,6,I Am a Fugitive from a Chain Gang,ACTOR,nominated
1932/33,6,The Private Life of Henry VIII,ACTOR,won
1932/33,6,Berkeley Square,ACTOR,nominated
1932/33,6,Cavalcade,ACTRESS,nominated
1932/33,6,Morning Glory,ACTRESS,won
1932/33,6,Lady for a Day,ACTRESS,nominated
1932/33,6,A Farewell to Arms,ART DIRECTION,nominated
1932/33,6,Cavalcade,ART DIRECTION,won
1932/33,6,When Ladies Meet,ART DIRECTION,nominated
1932/33,6,A Farewell to Arms,CINEMATOGRAPHY,won
1932/33,6,The Sign of the Cross,CINEMATOGRAPHY,nominated
1932/33,6,Reunion in Vienna,CINEMATOGRAPHY,nominated
1932/33,6,Cavalcade,DIRECTING,won
1932/33,6,Lady for a Day,DIRECTING,nominated
1932/33,6,Little Women,DIRECTING,nominated
1932/33,6,She Done Him Wrong,OUTSTANDING PRODUCTION,nominated
1932/33,6,Little Women,OUTSTANDING PRODUCTION,nominated
1932/33,6,The Private Life of Henry VIII,OUTSTANDING PRODUCTION,nominated
1932/33,6,A Farewell to Arms,OUTSTANDING PRODUCTION,nominated
1932/33,6,Cavalcade,OUTSTANDING PRODUCTION,won
1932/33,6,42nd Street,OUTSTANDING PRODUCTION,nominated
1932/33,6,Smilin' Through,OUTSTANDING PRODUCTION,nominated
1932/33,6,I Am a Fugitive from a Chain Gang,OUTSTANDING PRODUCTION,nominated
1932/33,6,Lady for a Day,OUTSTANDING PRODUCTION,nominated
1932/33,6,State Fair,OUTSTANDING PRODUCTION,nominated
1932/33,6,The Three Little Pigs,SHORT SUBJECT (Cartoon),won
1932/33,6,Building a Building,SHORT SUBJECT (Cartoon),nominated
1932/33,6,The Merry Old Soul,SHORT SUBJECT (Cartoon),nominated
1932/33,6,A Preferred List,SHORT SUBJECT (Comedy),nominated
1932/33,6,Mister Mugg,SHORT SUBJECT (Comedy),nominated
1932/33,6,So This Is Harris,SHORT SUBJECT (Comedy),won
1932/33,6,Menu,SHORT SUBJECT (Novelty),nominated
1932/33,6,Krakatoa,SHORT SUBJECT (Novelty),won
1932/33,6,The Sea,SHORT SUBJECT (Novelty),nominated
1932/33,6,A Farewell to Arms,SOUND RECORDING,won
1932/33,6,42nd Street,SOUND RECORDING,nominated
1932/33,6,Gold Diggers of 1933,SOUND RECORDING,nominated
1932/33,6,I Am a Fugitive from a Chain Gang,SOUND RECORDING,nominated
1932/33,6,Lady for a Day,WRITING (Adaptation),nominated
1932/33,6,Little Women,WRITING (Adaptation),won
1932/33,6,State Fair,WRITING (Adaptation),nominated
1932/33,6,The Prizefighter and the Lady,WRITING (Original Story),nominated
1932/33,6,Rasputin and the Empress,WRITING (Original Story),nominated
1932/33,6,One Way Passage,WRITING (Original Story),won
1934,7,The Thin Man,ACTOR,nominated
1934,7,The Affairs of Cellini,ACTOR,nominated
1934,7,It Happened One Night,ACTOR,won
1934,7,One Night of Love,ACTRESS,nominated
1934,7,The Barretts of Wimpole Street,ACTRESS,nominated
1934,7,Of Human Bondage,ACTRESS,nominated
1934,7,It Happened One Night,ACTRESS,won
1934,7,The Merry Widow,ART DIRECTION,won
1934,7,The Gay Divorcee,ART DIRECTION,nominated
1934,7,The Affairs of Cellini,ART DIRECTION,nominated
1934,7,Operator 13,CINEMATOGRAPHY,nominated
1934,7,Cleopatra,CINEMATOGRAPHY,won
1934,7,The Affairs of Cellini,CINEMATOGRAPHY,nominated
1934,7,The Thin Man,DIRECTING,nominated
1934,7,One Night of Love,DIRECTING,nominated
1934,7,It Happened One Night,DIRECTING,won
1934,7,One Night of Love,FILM EDITING,nominated
1934,7,Cleopatra,FILM EDITING,nominated
1934,7,Eskimo,FILM EDITING,won
1934,7,One Night of Love,MUSIC (Scoring),won
1934,7,The Gay Divorcee,MUSIC (Scoring),nominated
1934,7,The Lost Patrol,MUSIC (Scoring),nominated
1934,7,Flying Down to Rio,MUSIC (Song),nominated
1934,7,The Gay Divorcee,MUSIC (Song),won
1934,7,She Loves Me Not,MUSIC (Song),nominated
1934,7,Imitation of Life,OUTSTANDING PRODUCTION,nominated
1934,7,One Night of Love,OUTSTANDING PRODUCTION,nominated
1934,7,The Barretts of Wimpole Street,OUTSTANDING PRODUCTION,nominated
1934,7,Viva Villa!,OUTSTANDING PRODUCTION,nominated
1934,7,The White Parade,OUTSTANDING PRODUCTION,nominated
1934,7,The Thin Man,OUTSTANDING PRODUCTION,nominated
1934,7,Cleopatra,OUTSTANDING PRODUCTION,nominated
1934,7,The Gay Divorcee,OUTSTANDING PRODUCTION,nominated
1934,7,It Happened One Night,OUTSTANDING PRODUCTION,won
1934,7,The House of Rothschild,OUTSTANDING PRODUCTION,nominated
1934,7,Flirtation Walk,OUTSTANDING PRODUCTION,nominated
1934,7,Here Comes the Navy,OUTSTANDING PRODUCTION,nominated
1934,7,Jolly Little Elves,SHORT SUBJECT (Cartoon),nominated
1934,7,Holiday Land,SHORT SUBJECT (Cartoon),nominated
1934,7,The Tortoise and the Hare,SHORT SUBJECT (Cartoon),won
1934,7,La Cucaracha,SHORT SUBJECT (Comedy),won
1934,7,"What, No Men!",SHORT SUBJECT (Comedy),nominated
1934,7,Men in Black,SHORT SUBJECT (Comedy),nominated
1934,7,Bosom Friends,SHORT SUBJECT (Novelty),nominated
1934,7,City of Wax,SHORT SUBJECT (Novelty),won
1934,7,Strikes and Spares,SHORT SUBJECT (Novelty),nominated
1934,7,Imitation of Life,SOUND RECORDING,nominated
1934,7,One Night of Love,SOUND RECORDING,won
1934,7,Viva Villa!,SOUND RECORDING,nominated
1934,7,The White Parade,SOUND RECORDING,nominated
1934,7,Cleopatra,SOUND RECORDING,nominated
1934,7,The Affairs of Cellini,SOUND RECORDING,nominated
1934,7,The Gay Divorcee,SOUND RECORDING,nominated
1934,7,Flirtation Walk,SOUND RECORDING,nominated
1934,7,The Thin Man,WRITING (Adaptation),nominated
1934,7,Viva Villa!,WRITING (Adaptation),nominated
1934,7,It Happened One Night,WRITING (Adaptation),won
1934,7,Hide-Out,WRITING (Original Story),nominated
1934,7,The Richest Girl in the World,WRITING (Original Story),nominated
1934,7,Manhattan Melodrama,WRITING (Original Story),won
1935,8,Mutiny on the Bounty,ACTOR,nominated
1935,8,The Informer,ACTOR,won
1935,8,Black Fury,ACTOR,nominated
1935,8,Dangerous,ACTRESS,won
1935,8,The Dark Angel,ACTRESS,nominated
1935,8,Becky Sharp,ACTRESS,nominated
1935,8,Alice Adams,ACTRESS,nominated
1935,8,Private Worlds,ACTRESS,nominated
1935,8,Escape Me Never,ACTRESS,nominated
1935,8,The Lives of a Bengal Lancer,ART DIRECTION,nominated
1935,8,The Dark Angel,ART DIRECTION,won
1935,8,Top Hat,ART DIRECTION,nominated
1935,8,A Midsummer Night's Dream,CINEMATOGRAPHY,won
1935,8,Barbary Coast,CINEMATOGRAPHY,nominated
1935,8,Les Miserables,CINEMATOGRAPHY,nominated
1935,8,The Crusades,CINEMATOGRAPHY,nominated
1935,8,Mutiny on the Bounty,DIRECTING,nominated
1935,8,The Lives of a Bengal Lancer,DIRECTING,nominated
1935,8,The Informer,DIRECTING,won
1935,8,Captain Blood,DIRECTING,nominated
1935,8,The Lives of a Bengal Lancer,FILM EDITING,nominated
1935,8,The Informer,FILM EDITING,nominated
1935,8,Mutiny on the Bounty,FILM EDITING,nominated
1935,8,A Midsummer Night's Dream,FILM EDITING,won
1935,8,Les Miserables,FILM EDITING,nominated
1935,8,David Copperfield,FILM EDITING,nominated
1935,8,Mutiny on the Bounty,MUSIC (Scoring),nominated
1935,8,The Informer,MUSIC (Scoring),won
1935,8,Captain Blood,MUSIC (Scoring),nominated
1935,8,Peter Ibbetson,MUSIC (Scoring),nominated
1935,8,Roberta,MUSIC (Song),nominated
1935,8,Gold Diggers of 1935,MUSIC (Song),won
1935,8,Top Hat,MUSIC (Song),nominated
1935,8,Naughty Marietta,OUTSTANDING PRODUCTION,nominated
1935,8,Ruggles of Red Gap,OUTSTANDING PRODUCTION,nominated
1935,8,Top Hat,OUTSTANDING PRODUCTION,nominated
1935,8,Alice Adams,OUTSTANDING PRODUCTION,nominated
1935,8,The Lives of a Bengal Lancer,OUTSTANDING PRODUCTION,nominated
1935,8,Broadway Melody of 1936,OUTSTANDING PRODUCTION,nominated
1935,8,The Informer,OUTSTANDING PRODUCTION,nominated
1935,8,Mutiny on the Bounty,OUTSTANDING PRODUCTION,won
1935,8,Captain Blood,OUTSTANDING PRODUCTION,nominated
1935,8,A Midsummer Night's Dream,OUTSTANDING PRODUCTION,nominated
1935,8,Les Miserables,OUTSTANDING PRODUCTION,nominated
1935,8,David Copperfield,OUTSTANDING PRODUCTION,nominated
1935,8,Who Killed Cock Robin?,SHORT SUBJECT (Cartoon),nominated
1935,8,Three Orphan Kittens,SHORT SUBJECT (Cartoon),won
1935,8,The Calico Dragon,SHORT SUBJECT (Cartoon),nominated
1935,8,"Oh, My Nerves",SHORT SUBJECT (Comedy),nominated
1935,8,How to Sleep,SHORT SUBJECT (Comedy),won
1935,8,Tit for Tat,SHORT SUBJECT (Comedy),nominated
1935,8,Audioscopiks,SHORT SUBJECT (Novelty),nominated
1935,8,Wings over Mt. Everest,SHORT SUBJECT (Novelty),won
1935,8,Camera Thrills,SHORT SUBJECT (Novelty),nominated
1935,8,Naughty Marietta,SOUND RECORDING,won
1935,8,The Dark Angel,SOUND RECORDING,nominated
1935,8,Bride of Frankenstein,SOUND RECORDING,nominated
1935,8,Love Me Forever,SOUND RECORDING,nominated
1935,8,The Lives of a Bengal Lancer,SOUND RECORDING,nominated
1935,8,I Dream Too Much,SOUND RECORDING,nominated
1935,8,Captain Blood,SOUND RECORDING,nominated
1935,8,"$1,000 a Minute",SOUND RECORDING,nominated
1935,8,Thanks a Million,SOUND RECORDING,nominated
1935,8,The Gay Deception,WRITING (Original Story),nominated
1935,8,Broadway Melody of 1936,WRITING (Original Story),nominated
1935,8,The Scoundrel,WRITING (Original Story),won
1935,8,G-Men,WRITING (Original Story),nominated
1935,8,Mutiny on the Bounty,WRITING (Screenplay),nominated
1935,8,The Lives of a Bengal Lancer,WRITING (Screenplay),nominated
1935,8,The Informer,WRITING (Screenplay),won
1935,8,Captain Blood,WRITING (Screenplay),nominated
1936,9,The Story of Louis Pasteur,ACTOR,won
1936,9,My Man Godfrey,ACTOR,nominated
1936,9,San Francisco,ACTOR,nominated
1936,9,Dodsworth,ACTOR,nominated
1936,9,Mr. Deeds Goes to Town,ACTOR,nominated
1936,9,Come and Get It,ACTOR IN A SUPPORTING ROLE,won
1936,9,My Man Godfrey,ACTOR IN A SUPPORTING ROLE,nominated
1936,9,Romeo and Juliet,ACTOR IN A SUPPORTING ROLE,nominated
1936,9,The General Died at Dawn,ACTOR IN A SUPPORTING ROLE,nominated
1936,9,Pigskin Parade,ACTOR IN A SUPPORTING ROLE,nominated
1936,9,Valiant Is the Word for Carrie,ACTRESS,nominated
1936,9,The Great Ziegfeld,ACTRESS,won
1936,9,My Man Godfrey,ACTRESS,nominated
1936,9,Romeo and Juliet,ACTRESS,nominated
1936,9,Theodora Goes Wild,ACTRESS,nominated
1936,9,My Man Godfrey,ACTRESS IN A SUPPORTING ROLE,nominated
1936,9,Anthony Adverse,ACTRESS IN A SUPPORTING ROLE,won
1936,9,Dodsworth,ACTRESS IN A SUPPORTING ROLE,nominated
1936,9,The Gorgeous Hussy,ACTRESS IN A SUPPORTING ROLE,nominated
1936,9,These Three,ACTRESS IN A SUPPORTING ROLE,nominated
1936,9,Lloyds of London,ART DIRECTION,nominated
1936,9,The Great Ziegfeld,ART DIRECTION,nominated
1936,9,Romeo and Juliet,ART DIRECTION,nominated
1936,9,Anthony Adverse,ART DIRECTION,nominated
1936,9,The Magnificent Brute,ART DIRECTION,nominated
1936,9,Winterset,ART DIRECTION,nominated
1936,9,Dodsworth,ART DIRECTION,won
1936,9,Anthony Adverse,CINEMATOGRAPHY,won
1936,9,The Gorgeous Hussy,CINEMATOGRAPHY,nominated
1936,9,The General Died at Dawn,CINEMATOGRAPHY,nominated
1936,9,The Great Ziegfeld,DIRECTING,nominated
1936,9,My Man Godfrey,DIRECTING,nominated
1936,9,San Francisco,DIRECTING,nominated
1936,9,Dodsworth,DIRECTING,nominated
1936,9,Mr. Deeds Goes to Town,DIRECTING,won
1936,9,A Tale of Two Cities,FILM EDITING,nominated
1936,9,Come and Get It,FILM EDITING,nominated
1936,9,Lloyds of London,FILM EDITING,nominated
1936,9,The Great Ziegfeld,FILM EDITING,nominated
1936,9,Anthony Adverse,FILM EDITING,won
1936,9,Theodora Goes Wild,FILM EDITING,nominated
1936,9,The Garden of Allah,MUSIC (Scoring),nominated
1936,9,Winterset,MUSIC (Scoring),nominated
1936,9,Anthony Adverse,MUSIC (Scoring),won
1936,9,The General Died at Dawn,MUSIC (Scoring),nominated
1936,9,The Charge of the Light Brigade,MUSIC (Scoring),nominated
1936,9,Trail of the Lonesome Pine,MUSIC (Song),nominated
1936,9,"Sing, Baby, Sing",MUSIC (Song),nominated
1936,9,Swing Time,MUSIC (Song),won
1936,9,Suzy,MUSIC (Song),nominated
1936,9,Born to Dance,MUSIC (Song),nominated
1936,9,Pennies from Heaven,MUSIC (Song),nominated
1936,9,A Tale of Two Cities,OUTSTANDING PRODUCTION,nominated
1936,9,The Story of Louis Pasteur,OUTSTANDING PRODUCTION,nominated
1936,9,The Great Ziegfeld,OUTSTANDING PRODUCTION,won
1936,9,Libeled Lady,OUTSTANDING PRODUCTION,nominated
1936,9,Three Smart Girls,OUTSTANDING PRODUCTION,nominated
1936,9,Romeo and Juliet,OUTSTANDING PRODUCTION,nominated
1936,9,Anthony Adverse,OUTSTANDING PRODUCTION,nominated
1936,9,San Francisco,OUTSTANDING PRODUCTION,nominated
1936,9,Dodsworth,OUTSTANDING PRODUCTION,nominated
1936,9,Mr. Deeds Goes to Town,OUTSTANDING PRODUCTION,nominated
1936,9,Old Mill Pond,SHORT SUBJECT (Cartoon),nominated
1936,9,The Country Cousin,SHORT SUBJECT (Cartoon),won
1936,9,Sinbad the Sailor,SHORT SUBJECT (Cartoon),nominated
1936,9,Give Me Liberty,SHORT SUBJECT (Color),won
1936,9,La Fiesta de Santa Barbara,SHORT SUBJECT (Color),nominated
1936,9,Popular Science J-6-2,SHORT SUBJECT (Color),nominated
1936,9,"Wanted, a Master",SHORT SUBJECT (One-reel),nominated
1936,9,Moscow Moods,SHORT SUBJECT (One-reel),nominated
1936,9,Bored of Education,SHORT SUBJECT (One-reel),won
1936,9,Double or Nothing,SHORT SUBJECT (Two-reel),nominated
1936,9,The Public Pays,SHORT SUBJECT (Two-reel),won
1936,9,Dummy Ache,SHORT SUBJECT (Two-reel),nominated
1936,9,The Texas Rangers,SOUND RECORDING,nominated
1936,9,That Girl from Paris,SOUND RECORDING,nominated
1936,9,Three Smart Girls,SOUND RECORDING,nominated
1936,9,San Francisco,SOUND RECORDING,won
1936,9,General Spanky,SOUND RECORDING,nominated
1936,9,Dodsworth,SOUND RECORDING,nominated
1936,9,The Charge of the Light Brigade,SOUND RECORDING,nominated
1936,9,Banjo on My Knee,SOUND RECORDING,nominated
1936,9,Mr. Deeds Goes to Town,SOUND RECORDING,nominated
1936,9,Fury,WRITING (Original Story),nominated
1936,9,The Story of Louis Pasteur,WRITING (Original Story),won
1936,9,The Great Ziegfeld,WRITING (Original Story),nominated
1936,9,Three Smart Girls,WRITING (Original Story),nominated
1936,9,San Francisco,WRITING (Original Story),nominated
1936,9,The Story of Louis Pasteur,WRITING (Screenplay),won
1936,9,My Man Godfrey,WRITING (Screenplay),nominated
1936,9,Dodsworth,WRITING (Screenplay),nominated
1936,9,After the Thin Man,WRITING (Screenplay),nominated
1936,9,Mr. Deeds Goes to Town,WRITING (Screenplay),nominated
1937,10,A Star Is Born,ACTOR,nominated
1937,10,Conquest,ACTOR,nominated
1937,10,The Life of Emile Zola,ACTOR,nominated
1937,10,Night Must Fall,ACTOR,nominated
1937,10,Captains Courageous,ACTOR,won
1937,10,Lost Horizon,ACTOR IN A SUPPORTING ROLE,nominated
1937,10,The Life of Emile Zola,ACTOR IN A SUPPORTING ROLE,won
1937,10,Topper,ACTOR IN A SUPPORTING ROLE,nominated
1937,10,The Awful Truth,ACTOR IN A SUPPORTING ROLE,nominated
1937,10,The Hurricane,ACTOR IN A SUPPORTING ROLE,nominated
1937,10,A Star Is Born,ACTRESS,nominated
1937,10,Stella Dallas,ACTRESS,nominated
